category,categoryName,categoryPos,story,feature,varPos,varRank,endX,endY,join
Wolf & the kids,Wolf & the kids,2,"Arslan, A. A. (1977). ""Sangulum, Sungulum and Karaca Dingilim""",SPECIES OF THE VICTIM : Animal,1,1,8,-16,link
Wolf & the kids,Wolf & the kids,2,"Arslan, A. A. (1977). ""Sangulum, Sungulum and Karaca Dingilim""",NUMBER OF VICTIM : Multiple,2,9,8,-16,link
Wolf & the kids,Wolf & the kids,2,"Arslan, A. A. (1977). ""Sangulum, Sungulum and Karaca Dingilim""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-16,link
Wolf & the kids,Wolf & the kids,2,"Arslan, A. A. (1977). ""Sangulum, Sungulum and Karaca Dingilim""",THE GUARDIAN : Mother,4,4,8,-16,link
Wolf & the kids,Wolf & the kids,2,"Arslan, A. A. (1977). ""Sangulum, Sungulum and Karaca Dingilim""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-16,link
Wolf & the kids,Wolf & the kids,2,"Lorimer, D.L.R & Lorimer, E. O. (1919) ""The Story of the Wolf and the Goat""",SPECIES OF THE VICTIM : Animal,1,1,8,-17,link
Wolf & the kids,Wolf & the kids,2,"Lorimer, D.L.R & Lorimer, E. O. (1919) ""The Story of the Wolf and the Goat""",NUMBER OF VICTIM : Multiple,2,9,8,-17,link
Wolf & the kids,Wolf & the kids,2,"Lorimer, D.L.R & Lorimer, E. O. (1919) ""The Story of the Wolf and the Goat""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-17,link
Wolf & the kids,Wolf & the kids,2,"Lorimer, D.L.R & Lorimer, E. O. (1919) ""The Story of the Wolf and the Goat""",THE GUARDIAN : Mother,4,4,8,-17,link
Wolf & the kids,Wolf & the kids,2,"Lorimer, D.L.R & Lorimer, E. O. (1919) ""The Story of the Wolf and the Goat""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-17,link
Wolf & the kids,Wolf & the kids,2,"Sabar, Y. (1982) ""The Ewe, the Goat, and the Lion""",SPECIES OF THE VICTIM : Animal,1,1,8,-18,link
Wolf & the kids,Wolf & the kids,2,"Sabar, Y. (1982) ""The Ewe, the Goat, and the Lion""",NUMBER OF VICTIM : Multiple,2,9,8,-18,link
Wolf & the kids,Wolf & the kids,2,"Sabar, Y. (1982) ""The Ewe, the Goat, and the Lion""","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-18,link
Wolf & the kids,Wolf & the kids,2,"Sabar, Y. (1982) ""The Ewe, the Goat, and the Lion""",THE GUARDIAN : Mother,4,4,8,-18,link
Wolf & the kids,Wolf & the kids,2,"Sabar, Y. (1982) ""The Ewe, the Goat, and the Lion""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-18,link
Wolf & the kids,Wolf & the kids,2,"Harris, J. (2002) “The Fire Test”",SPECIES OF THE VICTIM : Animal,1,1,8,-19,link
Wolf & the kids,Wolf & the kids,2,"Harris, J. (2002) “The Fire Test”",NUMBER OF VICTIM : Multiple,2,9,8,-19,link
Wolf & the kids,Wolf & the kids,2,"Harris, J. (2002) “The Fire Test”",SPECIES OF THE VILLAIN : Wolf,3,3,8,-19,link
Wolf & the kids,Wolf & the kids,2,"Harris, J. (2002) “The Fire Test”","THE GUARDIAN : Other (Father, Brother, Grandmother)",4,11,8,-19,link
Wolf & the kids,Wolf & the kids,2,"Harris, J. (2002) “The Fire Test”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-19,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Nanny Goat with the Iron Horns” ,SPECIES OF THE VICTIM : Animal,1,1,8,-20,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Nanny Goat with the Iron Horns” ,NUMBER OF VICTIM : Multiple,2,9,8,-20,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Nanny Goat with the Iron Horns” ,SPECIES OF THE VILLAIN : Wolf,3,3,8,-20,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Nanny Goat with the Iron Horns” ,THE GUARDIAN : Mother,4,4,8,-20,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Nanny Goat with the Iron Horns” ,THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-20,link
Wolf & the kids,Wolf & the kids,2,"Muhawi, I & Kanaana, S. (1989) “The Little She-Goat”",SPECIES OF THE VICTIM : Animal,1,1,8,-21,link
Wolf & the kids,Wolf & the kids,2,"Muhawi, I & Kanaana, S. (1989) “The Little She-Goat”",NUMBER OF VICTIM : Multiple,2,9,8,-21,link
Wolf & the kids,Wolf & the kids,2,"Muhawi, I & Kanaana, S. (1989) “The Little She-Goat”","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-21,link
Wolf & the kids,Wolf & the kids,2,"Muhawi, I & Kanaana, S. (1989) “The Little She-Goat”",THE GUARDIAN : Mother,4,4,8,-21,link
Wolf & the kids,Wolf & the kids,2,"Muhawi, I & Kanaana, S. (1989) “The Little She-Goat”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-21,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Mother of the Two Kids” ,SPECIES OF THE VICTIM : Animal,1,1,8,-22,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Mother of the Two Kids” ,NUMBER OF VICTIM : Multiple,2,9,8,-22,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Mother of the Two Kids” ,"SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-22,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Mother of the Two Kids” ,THE GUARDIAN : Mother,4,4,8,-22,link
Wolf & the kids,Wolf & the kids,2,El-Shamy (1999) “The Mother of the Two Kids” ,THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-22,link
Wolf & the kids,Wolf & the kids,2,"Hangin, J. G. (1968). “The Story of the Old Sheep, the Old Goat and the Wolf”",SPECIES OF THE VICTIM : Animal,1,1,8,-23,link
Wolf & the kids,Wolf & the kids,2,"Hangin, J. G. (1968). “The Story of the Old Sheep, the Old Goat and the Wolf”",NUMBER OF VICTIM : Multiple,2,9,8,-23,link
Wolf & the kids,Wolf & the kids,2,"Hangin, J. G. (1968). “The Story of the Old Sheep, the Old Goat and the Wolf”",SPECIES OF THE VILLAIN : Wolf,3,3,8,-23,link
Wolf & the kids,Wolf & the kids,2,"Hangin, J. G. (1968). “The Story of the Old Sheep, the Old Goat and the Wolf”",THE GUARDIAN : Mother,4,4,8,-23,link
Wolf & the kids,Wolf & the kids,2,"Hangin, J. G. (1968). “The Story of the Old Sheep, the Old Goat and the Wolf”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-23,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967) “The Ogress and Tutuqash”",SPECIES OF THE VICTIM : Human,1,8,8,-24,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967) “The Ogress and Tutuqash”",NUMBER OF VICTIM : Single,2,2,8,-24,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967) “The Ogress and Tutuqash”","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-24,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967) “The Ogress and Tutuqash”",THE GUARDIAN : Mother,4,4,8,-24,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967) “The Ogress and Tutuqash”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-24,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967). “The Song of the Fox”",SPECIES OF THE VICTIM : Animal,1,1,8,-25,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967). “The Song of the Fox”",NUMBER OF VICTIM : Single,2,2,8,-25,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967). “The Song of the Fox”",SPECIES OF THE VILLAIN : Wolf,3,3,8,-25,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967). “The Song of the Fox”",THE GUARDIAN : Mother,4,4,8,-25,link
Wolf & the kids,Wolf & the kids,2,"Malov, S. E. (1967). “The Song of the Fox”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-25,link
Wolf & the kids,Wolf & the kids,2,Lindahl et al. (1997). “The Girls and the Alligator”,SPECIES OF THE VICTIM : Human,1,8,8,-26,link
Wolf & the kids,Wolf & the kids,2,Lindahl et al. (1997). “The Girls and the Alligator”,NUMBER OF VICTIM : Multiple,2,9,8,-26,link
Wolf & the kids,Wolf & the kids,2,Lindahl et al. (1997). “The Girls and the Alligator”,"SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-26,link
Wolf & the kids,Wolf & the kids,2,Lindahl et al. (1997). “The Girls and the Alligator”,THE GUARDIAN : Mother,4,4,8,-26,link
Wolf & the kids,Wolf & the kids,2,Lindahl et al. (1997). “The Girls and the Alligator”,THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-26,link
African Tales,African Tales,3,"Lambrecht, W. (1963). Number 3952 (6). A Tale Type Index for Central Africa",SPECIES OF THE VICTIM : Human,1,8,8,-27,link
African Tales,African Tales,3,"Lambrecht, W. (1963). Number 3952 (6). A Tale Type Index for Central Africa",NUMBER OF VICTIM : Single,2,2,8,-27,link
African Tales,African Tales,3,"Lambrecht, W. (1963). Number 3952 (6). A Tale Type Index for Central Africa","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-27,link
African Tales,African Tales,3,"Lambrecht, W. (1963). Number 3952 (6). A Tale Type Index for Central Africa",THE GUARDIAN : Mother,4,4,8,-27,link
African Tales,African Tales,3,"Lambrecht, W. (1963). Number 3952 (6). A Tale Type Index for Central Africa",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-27,link
African Tales,African Tales,3,"Theal, G. M. (1886). ""Demane and Demazana""",SPECIES OF THE VICTIM : Human,1,8,8,-28,link
African Tales,African Tales,3,"Theal, G. M. (1886). ""Demane and Demazana""",NUMBER OF VICTIM : Single,2,2,8,-28,link
African Tales,African Tales,3,"Theal, G. M. (1886). ""Demane and Demazana""","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-28,link
African Tales,African Tales,3,"Theal, G. M. (1886). ""Demane and Demazana""","THE GUARDIAN : Other (Father, Brother, Grandmother)",4,11,8,-28,link
African Tales,African Tales,3,"Theal, G. M. (1886). ""Demane and Demazana""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-28,link
African Tales,African Tales,3,"Frazer, J. (1889). ""A South African Little Red Riding Hood",SPECIES OF THE VICTIM : Human,1,8,8,-29,link
African Tales,African Tales,3,"Frazer, J. (1889). ""A South African Little Red Riding Hood",NUMBER OF VICTIM : Single,2,2,8,-29,link
African Tales,African Tales,3,"Frazer, J. (1889). ""A South African Little Red Riding Hood","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-29,link
African Tales,African Tales,3,"Frazer, J. (1889). ""A South African Little Red Riding Hood",THE GUARDIAN : Mother,4,4,8,-29,link
African Tales,African Tales,3,"Frazer, J. (1889). ""A South African Little Red Riding Hood",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-29,link
African Tales,African Tales,3,"El-Shamy (1999) “Zaynabu, ‘Omm-Zmayyim, and Their Brother’",SPECIES OF THE VICTIM : Human,1,8,8,-30,link
African Tales,African Tales,3,"El-Shamy (1999) “Zaynabu, ‘Omm-Zmayyim, and Their Brother’",NUMBER OF VICTIM : Multiple,2,9,8,-30,link
African Tales,African Tales,3,"El-Shamy (1999) “Zaynabu, ‘Omm-Zmayyim, and Their Brother’","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-30,link
African Tales,African Tales,3,"El-Shamy (1999) “Zaynabu, ‘Omm-Zmayyim, and Their Brother’","THE GUARDIAN : Other (Father, Brother, Grandmother)",4,11,8,-30,link
African Tales,African Tales,3,"El-Shamy (1999) “Zaynabu, ‘Omm-Zmayyim, and Their Brother’",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-30,link
African Tales,African Tales,3,"Dorson, R. (1978) “A Zim Steals a Duiker's Children” ",SPECIES OF THE VICTIM : Animal,1,1,8,-31,link
African Tales,African Tales,3,"Dorson, R. (1978) “A Zim Steals a Duiker's Children” ",NUMBER OF VICTIM : Single,2,2,8,-31,link
African Tales,African Tales,3,"Dorson, R. (1978) “A Zim Steals a Duiker's Children” ","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-31,link
African Tales,African Tales,3,"Dorson, R. (1978) “A Zim Steals a Duiker's Children” ",THE GUARDIAN : Mother,4,4,8,-31,link
African Tales,African Tales,3,"Dorson, R. (1978) “A Zim Steals a Duiker's Children” ",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-31,link
Catterinella Tales,Red Riding Hood,4,"Calvino, I. (1956, trans. 1980 by G. Martin) ""Uncle Wolf""",SPECIES OF THE VICTIM : Human,1,8,8,-32,link
Catterinella Tales,Red Riding Hood,4,"Calvino, I. (1956, trans. 1980 by G. Martin) ""Uncle Wolf""",NUMBER OF VICTIM : Single,2,2,8,-32,link
Catterinella Tales,Red Riding Hood,4,"Calvino, I. (1956, trans. 1980 by G. Martin) ""Uncle Wolf""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-32,link
Catterinella Tales,Red Riding Hood,4,"Calvino, I. (1956, trans. 1980 by G. Martin) ""Uncle Wolf""",THE GUARDIAN : Mother,4,4,8,-32,link
Catterinella Tales,Red Riding Hood,4,"Calvino, I. (1956, trans. 1980 by G. Martin) ""Uncle Wolf""","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-32,link
Catterinella Tales,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cattarinetta""",SPECIES OF THE VICTIM : Human,1,8,8,-33,link
Catterinella Tales,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cattarinetta""",NUMBER OF VICTIM : Single,2,2,8,-33,link
Catterinella Tales,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cattarinetta""","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-33,link
Catterinella Tales,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cattarinetta""",THE GUARDIAN : Mother,4,4,8,-33,link
Catterinella Tales,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cattarinetta""","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-33,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Serravalle variant",SPECIES OF THE VICTIM : Human,1,8,8,-34,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Serravalle variant",NUMBER OF VICTIM : Single,2,2,8,-34,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Serravalle variant",SPECIES OF THE VILLAIN : Wolf,3,3,8,-34,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Serravalle variant",THE GUARDIAN : Mother,4,4,8,-34,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Serravalle variant","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-34,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Lago di Garda variant",SPECIES OF THE VICTIM : Human,1,8,8,-35,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Lago di Garda variant",NUMBER OF VICTIM : Single,2,2,8,-35,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Lago di Garda variant",SPECIES OF THE VILLAIN : Wolf,3,3,8,-35,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Lago di Garda variant",THE GUARDIAN : Mother,4,4,8,-35,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,”Lago di Garda variant","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-35,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,” Firenze  variant",SPECIES OF THE VICTIM : Human,1,8,8,-36,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,” Firenze  variant",NUMBER OF VICTIM : Single,2,2,8,-36,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,” Firenze  variant","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-36,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,” Firenze  variant",THE GUARDIAN : Mother,4,4,8,-36,link
Catterinella Tales,Red Riding Hood,4,"Rumpf, M. (1958) “Caterinella: Ein italienisches Warnmärchen,” Firenze  variant","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-36,link
Liege Poem,Red Riding Hood,4,"Ziolkowski, J. (1992) A fairy tale from before fairy tales: Egbert of Liege's ""De puella a lupellis seruata"" and the medieval background of ""Little Red Riding Hood""",SPECIES OF THE VICTIM : Human,1,8,8,-37,link
Liege Poem,Red Riding Hood,4,"Ziolkowski, J. (1992) A fairy tale from before fairy tales: Egbert of Liege's ""De puella a lupellis seruata"" and the medieval background of ""Little Red Riding Hood""",NUMBER OF VICTIM : Single,2,2,8,-37,link
Liege Poem,Red Riding Hood,4,"Ziolkowski, J. (1992) A fairy tale from before fairy tales: Egbert of Liege's ""De puella a lupellis seruata"" and the medieval background of ""Little Red Riding Hood""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-37,link
Liege Poem,Red Riding Hood,4,"Ziolkowski, J. (1992) A fairy tale from before fairy tales: Egbert of Liege's ""De puella a lupellis seruata"" and the medieval background of ""Little Red Riding Hood""","THE RELATIVE : Other (Aunt/Uncle, Godfather, Mother, Son)",5,12,8,-37,link
Story of Grandmother,Red Riding Hood,4,"Joisten, C. Untitled. Recounted in Zipes, J. (1993) The Trials and Tribulations of Little Red Riding Hood",SPECIES OF THE VICTIM : Human,1,8,8,-38,link
Story of Grandmother,Red Riding Hood,4,"Joisten, C. Untitled. Recounted in Zipes, J. (1993) The Trials and Tribulations of Little Red Riding Hood",NUMBER OF VICTIM : Single,2,2,8,-38,link
Story of Grandmother,Red Riding Hood,4,"Joisten, C. Untitled. Recounted in Zipes, J. (1993) The Trials and Tribulations of Little Red Riding Hood",SPECIES OF THE VILLAIN : Wolf,3,3,8,-38,link
Story of Grandmother,Red Riding Hood,4,"Joisten, C. Untitled. Recounted in Zipes, J. (1993) The Trials and Tribulations of Little Red Riding Hood",THE GUARDIAN : Mother,4,4,8,-38,link
Story of Grandmother,Red Riding Hood,4,"Joisten, C. Untitled. Recounted in Zipes, J. (1993) The Trials and Tribulations of Little Red Riding Hood",THE RELATIVE : Grandmother,5,5,8,-38,link
Story of Grandmother,Red Riding Hood,4,"Delarue, P. (1956). ""The Story of Grandmother""",SPECIES OF THE VICTIM : Human,1,8,8,-39,link
Story of Grandmother,Red Riding Hood,4,"Delarue, P. (1956). ""The Story of Grandmother""",NUMBER OF VICTIM : Single,2,2,8,-39,link
Story of Grandmother,Red Riding Hood,4,"Delarue, P. (1956). ""The Story of Grandmother""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-39,link
Story of Grandmother,Red Riding Hood,4,"Delarue, P. (1956). ""The Story of Grandmother""",THE GUARDIAN : Mother,4,4,8,-39,link
Story of Grandmother,Red Riding Hood,4,"Delarue, P. (1956). ""The Story of Grandmother""",THE RELATIVE : Grandmother,5,5,8,-39,link
Story of Grandmother,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cappelin Rosso""",SPECIES OF THE VICTIM : Human,1,8,8,-40,link
Story of Grandmother,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cappelin Rosso""",NUMBER OF VICTIM : Single,2,2,8,-40,link
Story of Grandmother,Red Riding Hood,4,"Schneller, C. (1867, trans. 2007 by D. Ashliman). ""Cappelin Rosso""","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-40,link
